date,Centro,Norte,Sur,Total,VMDisp,pVMI
4/12/2020,510,66,144,720,1635,0.4404
4/13/2020,491,48,146,685,1623,0.4221
4/14/2020,528,63,134,725,1668,0.4347
4/15/2020,497,71,124,692,1683,0.4112
4/16/2020,498,72,136,706,1668,0.4233
4/17/2020,498,70,135,703,1684,0.4175
4/18/2020,519,65,134,718,1688,0.4254
4/19/2020,517,64,126,707,1698,0.4164
4/20/2020,523,64,118,705,1722,0.4094
4/21/2020,527,72,99,698,1722,0.4053
4/22/2020,520,71,110,701,1700,0.4124
4/23/2020,543,72,107,722,1700,0.4247
4/24/2020,525,78,110,713,1707,0.4177
4/25/2020,526,83,115,724,1743,0.4154
4/26/2020,532,76,112,720,1710,0.4211
4/27/2020,539,83,114,736,1722,0.4274
4/28/2020,567,85,99,751,1704,0.4407
4/29/2020,547,93,110,750,1735,0.4323
4/30/2020,538,84,107,729,1741,0.4187
5/1/2020,536,85,105,726,1725,0.4209
5/2/2020,561,89,110,760,1748,0.4348
5/3/2020,594,93,110,797,1735,0.4594
5/4/2020,620,94,109,823,1758,0.4681
5/5/2020,655,82,108,845,1765,0.4788
5/6/2020,677,87,99,863,1765,0.489
5/7/2020,693,92,99,884,1784,0.4955
5/8/2020,717,97,85,899,1789,0.5025
5/9/2020,748,97,88,933,1805,0.5169
5/10/2020,763,110,83,956,1800,0.5311
5/11/2020,776,110,80,966,1809,0.534
5/12/2020,814,111,80,1005,1843,0.5453
