date,area,pVMI_total,pVMI_covid,VMI_total,VMI_out
4/18/2020,Central,0.79,0.531,64,
4/18/2020,Norte,0.545,0.318,13,
4/18/2020,Occidente,0.551,0.269,45,
4/18/2020,Oriente,0.26,0.143,20,
4/18/2020,Sur,0.683,0.383,41,
4/18/2020,Sur Oriente,0.828,0.483,52,
4/18/2020,Total,0.606,0.354,234,
4/19/2020,Central,0.827,0.593,67,
4/19/2020,Norte,0.636,0.364,15,
4/19/2020,Occidente,0.487,0.244,39,
4/19/2020,Oriente,0.299,0.234,23,
4/19/2020,Sur,0.733,0.433,44,
4/19/2020,Sur Oriente,0.915,0.492,58,
4/19/2020,Total,0.637,0.393,246,
4/20/2020,Central,0.872,0.59,71,
4/20/2020,Norte,0.773,0.409,19,
4/20/2020,Occidente,0.474,0.218,38,
4/20/2020,Oriente,0.312,0.273,24,
4/20/2020,Sur,0.6,0.333,36,
4/20/2020,Sur Oriente,0.921,0.444,58,
4/20/2020,Total,0.635,0.373,245,
4/21/2020,Central,0.84,0.556,68,
4/21/2020,Norte,0.682,0.409,16,
4/21/2020,Occidente,0.481,0.234,39,
4/21/2020,Oriente,0.338,0.208,26,
4/21/2020,Sur,0.667,0.333,40,
4/21/2020,Sur Oriente,0.81,0.429,51,
4/21/2020,Total,0.624,0.355,241,
4/22/2020,Central,0.827,0.58,67,
4/22/2020,Norte,0.864,0.409,21,
4/22/2020,Occidente,0.56,0.24,45,
4/22/2020,Oriente,0.364,0.208,28,
4/22/2020,Sur,0.717,0.333,43,
4/22/2020,Sur Oriente,0.785,0.462,49,
4/22/2020,Total,0.658,0.368,254,
4/23/2020,Central,0.815,0.556,66,
4/23/2020,Norte,0.682,0.364,16,
4/23/2020,Occidente,0.6,0.293,49,
4/23/2020,Oriente,0.429,0.234,33,
4/23/2020,Sur,0.8,0.417,48,
4/23/2020,Sur Oriente,0.81,0.524,51,
4/23/2020,Total,0.683,0.399,264,
4/24/2020,Central,0.765,0.556,62,
4/24/2020,Norte,0.818,0.409,20,
4/24/2020,Occidente,0.613,0.263,50,
4/24/2020,Oriente,0.39,0.208,30,
4/24/2020,Sur,0.783,0.467,47,
4/24/2020,Sur Oriente,0.81,0.476,51,
4/24/2020,Total,0.671,0.389,259,
4/25/2020,Central,0.753,0.568,61,
4/25/2020,Norte,0.773,0.455,19,
4/25/2020,Occidente,0.525,0.263,43,
4/25/2020,Oriente,0.416,0.195,32,
4/25/2020,Sur,0.8,0.517,48,
4/25/2020,Sur Oriente,0.746,0.46,47,
4/25/2020,Total,0.645,0.397,249,
4/26/2020,Central,0.716,0.593,58,
