day,region,date,region_lat,region_lon,n_obs,Deaths,n_obsSymp,n_obsAsymp
0,Maule,3/3/2020,-35.4270536,-71.6483745,1,0,NA,NA
1,Maule,3/4/2020,-35.4270536,-71.6483745,1,0,NA,NA
1,Metropolitana,3/4/2020,-33.3923636,-70.608036,1,0,NA,NA
2,Metropolitana,3/5/2020,-33.3923636,-70.608036,1,0,NA,NA
3,Metropolitana,3/6/2020,-33.3923636,-70.608036,4,0,NA,NA
4,Maule,3/7/2020,-35.4270536,-71.6483745,1,0,NA,NA
5,Los Lagos,3/8/2020,-41.4491726,-72.9594584,1,0,NA,NA
6,Biobio,3/9/2020,-36.8249391,-73.04013379999998,1,0,NA,NA
6,Maule,3/9/2020,-35.4270536,-71.6483745,1,0,NA,NA
6,Metropolitana,3/9/2020,-33.3923636,-70.608036,1,0,NA,NA
7,Maule,3/10/2020,-35.4270536,-71.6483745,1,0,NA,NA
7,Metropolitana,3/10/2020,-33.3923636,-70.608036,3,0,NA,NA
8,Maule,3/11/2020,-35.4270536,-71.6483745,2,0,NA,NA
8,Metropolitana,3/11/2020,-33.3923636,-70.608036,4,0,NA,NA
9,Metropolitana,3/12/2020,-33.3923636,-70.608036,9,0,NA,NA
9,Nuble,3/12/2020,-36.60968629999999,-72.12799759999999,1,0,NA,NA
10,Biobio,3/13/2020,-36.8249391,-73.04013379999998,2,0,NA,NA
10,Maule,3/13/2020,-35.4270536,-71.6483745,1,0,NA,NA
10,Metropolitana,3/13/2020,-33.3923636,-70.608036,6,0,NA,NA
10,Nuble,3/13/2020,-36.60968629999999,-72.12799759999999,1,0,NA,NA
11,Antofagasta,3/14/2020,-22.4457586,-68.9203724,2,0,NA,NA
11,Atacama,3/14/2020,-27.384218100000005,-70.3308447,1,0,NA,NA
11,Aysen,3/14/2020,-45.2066761,-72.6862988,1,0,NA,NA
11,Maule,3/14/2020,-35.4270536,-71.6483745,1,0,NA,NA
11,Metropolitana,3/14/2020,-33.3923636,-70.608036,11,0,NA,NA
11,Nuble,3/14/2020,-36.60968629999999,-72.12799759999999,2,0,NA,NA
12,Metropolitana,3/15/2020,-33.3923636,-70.608036,14,0,NA,NA
13,Araucania,3/16/2020,-38.73699660000001,-72.6018527,1,0,NA,NA
13,Biobio,3/16/2020,-36.8249391,-73.04013379999998,1,0,NA,NA
13,Los Rios,3/16/2020,-39.8185499,-73.2417066,1,0,NA,NA
13,Metropolitana,3/16/2020,-33.3923636,-70.608036,69,0,NA,NA
13,Nuble,3/16/2020,-36.60968629999999,-72.12799759999999,8,0,NA,NA
13,Valparaiso,3/16/2020,-33.0097842,-71.5517663,1,0,NA,NA
14,Metropolitana,3/17/2020,-33.3923636,-70.608036,29,0,NA,NA
14,Nuble,3/17/2020,-36.60968629999999,-72.12799759999999,14,0,NA,NA
14,Magallanes,3/17/2020,-53.14809720000001,-70.9503614,2,0,NA,NA
15,Araucania,3/18/2020,-38.73699660000001,-72.6018527,3,0,NA,NA
15,Biobio,3/18/2020,-36.8249391,-73.04013379999998,3,0,NA,NA
15,Los Lagos,3/18/2020,-41.4491726,-72.9594584,7,0,NA,NA
15,Maule,3/18/2020,-35.4270536,-71.6483745,2,0,NA,NA
15,Metropolitana,3/18/2020,-33.3923636,-70.608036,22,0,NA,NA
15,Arica y Parinacota,3/18/2020,-18.4781181,-70.3141952,1,0,NA,NA
16,Araucania,3/19/2020,-38.73699660000001,-72.6018527,3,0,NA,NA
16,Biobio,3/19/2020,-36.8249391,-73.04013379999998,7,0,NA,NA
16,Los Lagos,3/19/2020,-41.4491726,-72.9594584,8,0,NA,NA
16,Maule,3/19/2020,-35.4270536,-71.6483745,3,0,NA,NA
16,Metropolitana,3/19/2020,-33.3923636,-70.608036,73,0,NA,NA
16,Nuble,3/19/2020,-36.60968629999999,-72.12799759999999,2,0,NA,NA
16,Valparaiso,3/19/2020,-33.0097842,-71.5517663,3,0,NA,NA
16,Coquimbo,3/19/2020,-29.9682462,-71.339197,2,0,NA,NA
16,Ohiggins,3/19/2020,-34.1547941,-70.76876290000001,2,0,NA,NA
