date,recovered
Before 4/1/2020,189
4/1/2020,33
4/2/2020,102
4/3/2020,88
4/4/2020,98
4/5/2020,88
4/6/2020,111
4/7/2020,170
4/8/2020,215
4/9/2020,155
4/10/2020,296
4/11/2020,291
4/12/2020,223
4/13/2020,308
4/14/2020,279
4/15/2020,291
4/16/2020,362
4/17/2020,322
4/18/2020,414
4/19/2020,303
4/20/2020,338
4/21/2020,293
4/22/2020,417
4/23/2020,418
4/24/2020,523
4/25/2020,419
4/26/2020,278
4/27/2020,303
4/28/2020,383
4/29/2020,347
4/30/2020,523
5/1/2020,438
5/2/2020,555
5/3/2020,468
