region,comuna,date,WeeklyCases,week,CumCases,Pop
Valparaiso,Algarrobo,Week 3: 03/08 to 03/14,0,3,0,15174
Valparaiso,Algarrobo,Week 4: 03/15 to 03/21,0,4,0,15174
Valparaiso,Algarrobo,Week 1: 02/23 to 02/29,0,1,0,15174
Valparaiso,Algarrobo,Week 10: 04/26 to 05/02,0,10,0,15174
Valparaiso,Algarrobo,Week 0: 02/16 to 02/22,0,0,0,15174
Valparaiso,Algarrobo,Week 5: 03/22 to 03/28,0,5,0,15174
Valparaiso,Algarrobo,Week 9: 04/19 to 04/25,0,9,0,15174
Valparaiso,Algarrobo,Week 6: 03/29 to 04/04,0,6,0,15174
Valparaiso,Algarrobo,Week 7: 04/05 to 04/11,0,7,0,15174
Valparaiso,Algarrobo,Week 13: 05/17 to 05/23,0,13,0,15174
Valparaiso,Algarrobo,Week 8: 04/12 to 04/18,0,8,0,15174
Valparaiso,Algarrobo,Week 16: 06/07 to 06/13,0,16,0,15174
Valparaiso,Algarrobo,Week 2: 03/01 to 03/07,0,2,0,15174
Valparaiso,Algarrobo,Week 11: 05/03 to 05/09,0,11,0,15174
Valparaiso,Algarrobo,Week 12: 05/10 to 05/16,0,12,0,15174
Valparaiso,Algarrobo,Week 14: 05/24 to 05/30,0,14,0,15174
Valparaiso,Algarrobo,Week 15: 05/31 to 06/06,0,15,0,15174
Metropolitana,Alhue,Week 3: 03/08 to 03/14,0,3,0,7405
Metropolitana,Alhue,Week 7: 04/05 to 04/11,0,7,0,7405
Metropolitana,Alhue,Week 11: 05/03 to 05/09,0,11,0,7405
Metropolitana,Alhue,Week 8: 04/12 to 04/18,0,8,0,7405
Metropolitana,Alhue,Week 6: 03/29 to 04/04,0,6,0,7405
Metropolitana,Alhue,Week 13: 05/17 to 05/23,0,13,0,7405
Metropolitana,Alhue,Week 10: 04/26 to 05/02,0,10,0,7405
Metropolitana,Alhue,Week 5: 03/22 to 03/28,0,5,0,7405
Metropolitana,Alhue,Week 14: 05/24 to 05/30,0,14,0,7405
Metropolitana,Alhue,Week 1: 02/23 to 02/29,0,1,0,7405
Metropolitana,Alhue,Week 0: 02/16 to 02/22,0,0,0,7405
Metropolitana,Alhue,Week 15: 05/31 to 06/06,0,15,0,7405
Metropolitana,Alhue,Week 2: 03/01 to 03/07,0,2,0,7405
Metropolitana,Alhue,Week 4: 03/15 to 03/21,0,4,0,7405
Metropolitana,Alhue,Week 12: 05/10 to 05/16,0,12,0,7405
Metropolitana,Alhue,Week 9: 04/19 to 04/25,0,9,0,7405
Metropolitana,Alhue,Week 16: 06/07 to 06/13,0,16,0,7405
Biobio,Alto Biobio,Week 10: 04/26 to 05/02,0,10,0,6775
Biobio,Alto Biobio,Week 7: 04/05 to 04/11,0,7,0,6775
Biobio,Alto Biobio,Week 2: 03/01 to 03/07,0,2,0,6775
Biobio,Alto Biobio,Week 16: 06/07 to 06/13,0,16,0,6775
Biobio,Alto Biobio,Week 9: 04/19 to 04/25,0,9,0,6775
Biobio,Alto Biobio,Week 1: 02/23 to 02/29,0,1,0,6775
Biobio,Alto Biobio,Week 12: 05/10 to 05/16,0,12,0,6775
Biobio,Alto Biobio,Week 6: 03/29 to 04/04,0,6,0,6775
Biobio,Alto Biobio,Week 5: 03/22 to 03/28,0,5,0,6775
Biobio,Alto Biobio,Week 8: 04/12 to 04/18,0,8,0,6775
Biobio,Alto Biobio,Week 3: 03/08 to 03/14,0,3,0,6775
Biobio,Alto Biobio,Week 11: 05/03 to 05/09,0,11,0,6775
Biobio,Alto Biobio,Week 4: 03/15 to 03/21,0,4,0,6775
Biobio,Alto Biobio,Week 0: 02/16 to 02/22,0,0,0,6775
Biobio,Alto Biobio,Week 13: 05/17 to 05/23,0,13,0,6775
Biobio,Alto Biobio,Week 14: 05/24 to 05/30,0,14,0,6775
Biobio,Alto Biobio,Week 15: 05/31 to 06/06,0,15,0,6775
Tarapaca,Alto Hospicio,Week 9: 04/19 to 04/25,0,9,0,129999
Tarapaca,Alto Hospicio,Week 12: 05/10 to 05/16,0,12,0,129999
Tarapaca,Alto Hospicio,Week 14: 05/24 to 05/30,0,14,0,129999
Tarapaca,Alto Hospicio,Week 0: 02/16 to 02/22,0,0,0,129999
Tarapaca,Alto Hospicio,Week 6: 03/29 to 04/04,0,6,0,129999
Tarapaca,Alto Hospicio,Week 11: 05/03 to 05/09,0,11,0,129999
Tarapaca,Alto Hospicio,Week 13: 05/17 to 05/23,0,13,0,129999
Tarapaca,Alto Hospicio,Week 15: 05/31 to 06/06,0,15,0,129999
Tarapaca,Alto Hospicio,Week 1: 02/23 to 02/29,0,1,0,129999
Tarapaca,Alto Hospicio,Week 5: 03/22 to 03/28,0,5,0,129999
Tarapaca,Alto Hospicio,Week 4: 03/15 to 03/21,0,4,0,129999
Tarapaca,Alto Hospicio,Week 7: 04/05 to 04/11,0,7,0,129999
Tarapaca,Alto Hospicio,Week 16: 06/07 to 06/13,0,16,0,129999
Tarapaca,Alto Hospicio,Week 8: 04/12 to 04/18,0,8,0,129999
Tarapaca,Alto Hospicio,Week 2: 03/01 to 03/07,0,2,0,129999
Tarapaca,Alto Hospicio,Week 3: 03/08 to 03/14,0,3,0,129999
Tarapaca,Alto Hospicio,Week 10: 04/26 to 05/02,0,10,0,129999
Atacama,Alto del Carmen,Week 9: 04/19 to 04/25,0,9,0,5729
Atacama,Alto del Carmen,Week 0: 02/16 to 02/22,0,0,0,5729
Atacama,Alto del Carmen,Week 2: 03/01 to 03/07,0,2,0,5729
Atacama,Alto del Carmen,Week 1: 02/23 to 02/29,0,1,0,5729
Atacama,Alto del Carmen,Week 16: 06/07 to 06/13,0,16,0,5729
Atacama,Alto del Carmen,Week 3: 03/08 to 03/14,0,3,0,5729
Atacama,Alto del Carmen,Week 7: 04/05 to 04/11,0,7,0,5729
Atacama,Alto del Carmen,Week 5: 03/22 to 03/28,0,5,0,5729
Atacama,Alto del Carmen,Week 15: 05/31 to 06/06,0,15,0,5729
Atacama,Alto del Carmen,Week 6: 03/29 to 04/04,0,6,0,5729
Atacama,Alto del Carmen,Week 10: 04/26 to 05/02,0,10,0,5729
Atacama,Alto del Carmen,Week 8: 04/12 to 04/18,0,8,0,5729
Atacama,Alto del Carmen,Week 12: 05/10 to 05/16,0,12,0,5729
Atacama,Alto del Carmen,Week 14: 05/24 to 05/30,0,14,0,5729
Atacama,Alto del Carmen,Week 4: 03/15 to 03/21,0,4,0,5729
Atacama,Alto del Carmen,Week 13: 05/17 to 05/23,0,13,0,5729
Atacama,Alto del Carmen,Week 11: 05/03 to 05/09,0,11,0,5729
Los Lagos,Ancud,Week 16: 06/07 to 06/13,0,16,0,42458
Los Lagos,Ancud,Week 2: 03/01 to 03/07,0,2,0,42458
Los Lagos,Ancud,Week 4: 03/15 to 03/21,0,4,0,42458
Los Lagos,Ancud,Week 5: 03/22 to 03/28,0,5,0,42458
Los Lagos,Ancud,Week 9: 04/19 to 04/25,0,9,0,42458
Los Lagos,Ancud,Week 8: 04/12 to 04/18,0,8,0,42458
Los Lagos,Ancud,Week 0: 02/16 to 02/22,0,0,0,42458
Los Lagos,Ancud,Week 12: 05/10 to 05/16,0,12,0,42458
Los Lagos,Ancud,Week 11: 05/03 to 05/09,0,11,0,42458
Los Lagos,Ancud,Week 6: 03/29 to 04/04,0,6,0,42458
Los Lagos,Ancud,Week 14: 05/24 to 05/30,0,14,0,42458
Los Lagos,Ancud,Week 10: 04/26 to 05/02,0,10,0,42458
Los Lagos,Ancud,Week 15: 05/31 to 06/06,0,15,0,42458
Los Lagos,Ancud,Week 3: 03/08 to 03/14,0,3,0,42458
Los Lagos,Ancud,Week 1: 02/23 to 02/29,0,1,0,42458
Los Lagos,Ancud,Week 7: 04/05 to 04/11,0,7,0,42458
Los Lagos,Ancud,Week 13: 05/17 to 05/23,0,13,0,42458
Coquimbo,Andacollo,Week 8: 04/12 to 04/18,0,8,0,11791
Coquimbo,Andacollo,Week 16: 06/07 to 06/13,0,16,0,11791
Coquimbo,Andacollo,Week 6: 03/29 to 04/04,0,6,0,11791
Coquimbo,Andacollo,Week 10: 04/26 to 05/02,0,10,0,11791
Coquimbo,Andacollo,Week 1: 02/23 to 02/29,0,1,0,11791
Coquimbo,Andacollo,Week 3: 03/08 to 03/14,0,3,0,11791
Coquimbo,Andacollo,Week 9: 04/19 to 04/25,0,9,0,11791
Coquimbo,Andacollo,Week 14: 05/24 to 05/30,0,14,0,11791
Coquimbo,Andacollo,Week 13: 05/17 to 05/23,0,13,0,11791
Coquimbo,Andacollo,Week 7: 04/05 to 04/11,0,7,0,11791
Coquimbo,Andacollo,Week 2: 03/01 to 03/07,0,2,0,11791
Coquimbo,Andacollo,Week 12: 05/10 to 05/16,0,12,0,11791
Coquimbo,Andacollo,Week 15: 05/31 to 06/06,0,15,0,11791
Coquimbo,Andacollo,Week 11: 05/03 to 05/09,0,11,0,11791
Coquimbo,Andacollo,Week 0: 02/16 to 02/22,0,0,0,11791
Coquimbo,Andacollo,Week 4: 03/15 to 03/21,0,4,0,11791
Coquimbo,Andacollo,Week 5: 03/22 to 03/28,0,5,0,11791
Araucania,Angol,Week 2: 03/01 to 03/07,0,2,0,56058
Araucania,Angol,Week 14: 05/24 to 05/30,0,14,0,56058
Araucania,Angol,Week 7: 04/05 to 04/11,0,7,0,56058
Araucania,Angol,Week 8: 04/12 to 04/18,0,8,0,56058
Araucania,Angol,Week 9: 04/19 to 04/25,0,9,0,56058
