,id,region,comuna,date,WeeklyCases,week,CumCases,Pop,address,address2,empty_address,FormattedAddress,lat,lon
1,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 3: 03/08 to 03/14,1,3,1,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
2,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 1: 02/23 to 02/29,0,1,0,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
3,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 0: 02/16 to 02/22,0,0,0,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
4,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 11: 05/03 to 05/09,0,11,14,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
5,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 6: 03/29 to 04/04,0,6,9,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
6,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 9: 04/19 to 04/25,2,9,11,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
7,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 7: 04/05 to 04/11,0,7,9,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
8,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 4: 03/15 to 03/21,4,4,5,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
9,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 2: 03/01 to 03/07,0,2,0,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
10,Algarrobo-Valparaiso,Valparaiso,Algarrobo,Week 10: 04/26 to 05/02,3,10,14,15174,"Algarrobo, Region de Valparaiso, Chile","Algarrobo,+Region+de+Valparaiso,+Chile",0,"Algarrobo, Valparaíso, Chile",-33.3647762,-71.6705534
